downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
powerwarp,``real*8``,``4.d0``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_179,read_datas.f90:675,
add_pulay,``integer``,``2``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_180,"read_datas.f90:674, 780 -- 787",
yespulay,``logical``,``.true.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_181,read_datas.f90:673,
typedyncell,``integer``,"automatic (-2, -1, 0, or 3)","Integer value. typedyncell=0 means Standard NVT ensemble with no optimization of cell. typedyncell=1 implies fixed volume, but optimization of b/a and c/a at fixed volume V = a \times b \times c. typedyncell=2 stands for constant pressure, variable volume, optimizing a, b and c at pressfixed = constant. typedyncell=3 represents constant pressure and variable volume but without modifying b/a and c/a.","Integer value. typedyncell=0 means Standard NVT ensemble with no optimization of cell. typedyncell=1 implies fixed volume, but optimization of b/a and c/a at fixed volume V = a \times b \times c. typedyncell=2 stands for constant pressure, variable volume, optimizing a, b and c at pressfixed = constant. typedyncell=3 represents constant pressure and variable volume but without modifying b/a and c/a.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_182,"read_datas.f90:676, 995, 1009 -- 1032, 1203 -- 1207",
scalepulay,``real*8``,"- ``0.d0`` lrdmc_der is .true. and lrdmc_nonodes is .false.
- ``1.d0`` otherwise
",WIP,None,None,"datasfn.input:

.. code-block:: text

    !scalepulay=1 ! If scalepulay<=0 the Pulay term is scaled by |scalepulay|
                    in the warp=.true. case in a consistent way so as to be able
                    to compute the HM contribution scalepulay=0, or the finite
                    variance (maybe) contribution scalepulay=-0.5.
                    NB use always 1 in the last input of forcefn.sh
                    ( e.g. forcefn.sh 100 0 2 1).
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_183,read_datas.f90:677 -- 681,
ext_pot,``logical``,``.false.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_184,read_datas.f90:683 -- 684,
vdw,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if exp_pot is .false.
  + ``.true.`` if link_atom is .true.
",WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_185,"read_datas.f90:685, 733 -- 736, 748",
link_atom,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if ext_pot is .false.
  + ``.false.`` if mm_restr is .true.
",WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_186,"read_datas.f90:686, 733 -- 736, 750",
mm_restr,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if link_atom is .true.",WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_187,"read_datas.f90:688, 749",
write_rwalk,``logical``,``.false.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_188,read_datas.f90:693,
yes_correct,``logical``,``.true.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_189,read_datas.f90:667,
yesavopt,``logical``,"- if no input

  + ``.true.`` itestr = -5
  + ``.false.`` itestr /= -5

- ignore input or above value

  + ``.false.`` if nrep_bead > 1 and yesquantum is .true.
  + ``.false.`` if kaverage is .true. and decoupled_run is .false. and molyes is .true. and yesavsr is .true.
  + ``.false.`` (with mol optimiz.)
",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !yesavopt=.false. ! If true all  beads have the same coefficients in the wf's
                        (only ionic centers change)
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_190,"read_datas.f90:698 -- 702, 766 -- 774, 2367 -- 2370, 2646, 2677 -- 2680",
yesavsr,``logical``,"- ``.true.`` if no input

- ignore input

  +  ``.true.`` if kaverage is .true. and decoupled_run is .false.
  + ``.false.`` if nrep_bead > 1 and yesquantum is .true.
",WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_191,"read_datas.f90:695, 766 -- 778, 2357 -- 2360",
yesavcov,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if kaverage is .true. and decoupled_run is .false.
",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !yesavcov=.false. ! if true Average the covariance matrix among different beads.
                        The right option is chosen automatically for yesturboq=.true.
                        (the default, in this case has not the same meaning)
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_192,"read_datas.f90:696, 2362 -- 2365",
nrep_bead,``integer``,``1``,WIP,None,None,"datasminmol.input:

.. code-block:: text

    !nrep_bead=1 ! If larger than one, ( yesavopt=.false.) groups nrep_bead
                   beads are assumed with the same wavefunction
                   (nrep_bead=nbeads is equivalent to yesavopt=.true.)
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_193,read_datas.f90:703,
yesperiodize,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if idyn /= 0 and yesquantum is .true. and yesturboq is .true. and yesperiodize is .true.
",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !yesperiodize=.false. ! In the path integral PBC case with idyn=/6 we can
                            also make exact summation on periodic images, usually
                            worth only for very large temperatures and very small
                            boxes for periodic systems (see RMP '95 by D.M. Ceperley).
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_194,"read_datas.f90:424, 995, 1598, 1659 -- 1663",
yes_kpoints,``logical``,``.false.``,WIP,None,None,"prep.input:

.. code-block:: text

    !yes_kpoints=.false. ! set to .true. if you plan to do a calculations with
                           k-points sampling. In this case the phase of the wavefunction
                         ! fort.10 is disregarded.
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_195,read_datas.f90:704,
epsbas,``real*8``,"- if no input

  + if yes_scemama is .true.

    - ``1.0d-9`` if yesdft is .true.
    - ``1.0d-8`` if yesdft is .false.

  + if yes_scemama is .false.

    - ``1.0d-8`` if yesdft is .true.
    - ``1.0d-7`` if yesdft is .false.
",WIP,None,None,"prep.input:

.. code-block:: text

    !epsbas = 1.0d-8 ! real space cutoff for the periodic basis set (keyword PBC_C in the
                       first record of the wave function fort.10).
                     ! NB: if DFT energy is different from what expected try to decrease the cutoff.
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_196,"read_datas.f90:706, 738 -- 747",
yeszj,``logical``,"- if no input

  + ``.true.`` itestr3 == -8 .or. itestr3 == -5
  + ``.false.`` otherwise","Logical value. If yeszj=.true., exponents of the Jastrow basis are optimized if iesm \neq 0 even if itestr4 = -4, -9.","Logical value. If yeszj=.true., exponents of the Jastrow basis are optimized if iesm \neq 0 even if itestr4 = -4, -9.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_197,read_datas.f90:372 -- 379,
yeszagp,``logical``,"- if no input

  + ``.true.`` itestr3 == -8 .or. itestr3 == -5
  + ``.false.`` otherwise
","Logical value. Same as above, but for the determinantal part.","Logical value. Same as above, but for the determinantal part.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_198,read_datas.f90:372 -- 379,
decoupled_run,``logical``,"- if no input

  + ``.false.`` yesdft is .true.
  + yesdft is .false.

    - ``.true.`` itestr /= -5
    - ``.false.`` itestr == -5

- ignore input or above value

  + ``.false.`` if kaverage is .false",WIP,None,None,"prep.input:

.. code-block:: text

    !decoupled_run=.false. ! if .true. the code starts a k-indipendent calculation.
                             When k-points are activated this option allows to perform an indipendent
                             self-consistent cycle for each k-point without performing the k-points average
                           ! of the electronic density. To be used before a twist average calculation in QMC.
",None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_199,read_datas.f90:,
scaleeloc,``real*8``,``-1.d0``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_200,read_datas.f90:682,
cutoff_p,``real(8)``,``9.d0``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_201,read_datas.f90:708 -- 709,
fixa,``logical``,``.false.``,"Logical value. If fixa = .true., a is kept fixed during dynamics.","Logical value. If fixa = .true., a is kept fixed during dynamics.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_202,read_datas.f90:720,
fixb,``logical``,``.false.``,"Logical value. If fixb = .true., b is kept fixed during dynamics.","Logical value. If fixb = .true., b is kept fixed during dynamics.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_203,read_datas.f90:721,
fixc,``logical``,``.false.``,"Logical value. If fixc = .true., c is kept fixed during dynamics.","Logical value. If fixc = .true., c is kept fixed during dynamics.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_204,read_datas.f90:722,
real_contracted,``logical``,``.true.``,"Logical value. For complex wf, if real_contracted=.true., only the real part of the contracted coefficient of the basis is optimized.","Logical value. For complex wf, if real_contracted=.true., only the real part of the contracted coefficient of the basis is optimized.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_205,read_datas.f90:723,
real_agp,``logical``,``.false.``,"Logical value. For complex wf, if real_agp=.true. and iessw=\neq 0, only the real part of the complex agp matrix is optimized. The imaginary part is assumed and set to zero.","Logical value. For complex wf, if real_agp=.true. and iessw=\neq 0, only the real part of the complex agp matrix is optimized. The imaginary part is assumed and set to zero.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_206,read_datas.f90:724,
no_sjbra,``logical``,``.false.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_207,read_datas.f90:725,
pressfixed,``real*8``,``0.d0``,"Value of the pressure in a.u., for dynamics at fixed pressure. Note: the classical value is not included.","Value of the pressure in a.u., for dynamics at fixed pressure. Note: the classical value is not included.",None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_208,read_datas.f90:726,
read_molecul,``logical``,``.false.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_209,read_datas.f90:727,
epsder,``real*8``,``1d-5``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_210,read_datas.f90:728,
yes_scemama,``logical``,``.true.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_211,read_datas.f90:729,
yes_scemama_open,``logical``,``.false.``,WIP,None,None,None,None,parameters,"turborvb.x, readforward.x, prep.x",,read_datasmin_212,read_datas.f90:730,
rsignr,``real*8``,``0.d0``,WIP,None,None,None,None,unused,"turborvb.x, readforward.x, prep.x",,read_datasmin_213,read_datas.f90:826,
beta,``real*8``,``0.d0``,WIP,None,None,None,None,unused,"turborvb.x, readforward.x, prep.x",,read_datasmin_214,read_datas.f90:828,
testderiv,``integer``,``0``,WIP,None,None,"datastest.input:

.. code-block:: text

    testderiv=3 ! test derivatives orbital used
",None,unused,"turborvb.x, readforward.x, prep.x",,read_datasmin_215,read_datas.f90:828,
calpha,``real*8`` calpha(5),``calpha(:) = 0.d0``,WIP,None,None,None,None,link,"turborvb.x, readforward.x, prep.x",,read_datasmin_216,read_datas.f90:39,
nparinv,``integer``,"- ``0`` if no input

- ignore input

  + ``0`` if iesinv >= 0",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !nparinv=8 ! 8 parameters for spin Jastrow (4  for r^-2  and 4 for r^-3).
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_217,"read_datas.f90:995, 1381, 1417 -- 1500",
initparinv,``integer``,"- ``0`` if no input

- ignore input

  + ``0`` if iesinv >= 0",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !initparinv=-4 ! long range spin Jastrow starting from r^{-2} power.
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_218,"read_datas.f90:995, 1383, 1417 -- 1500",
rmaxinv,``real*8``,"- ``1d-10`` if no input

- ignore input

  + ``0.d0`` if iesinv >= 0
  + ``1d-10`` if rmaxinv <= 0 and iesinv < 0","Real value. If iesinv < 0, then all matrix elements of the spin Jastrow at distance larger than rmaxinv are not optimized. The rule is the same as the ones above for the spin Jastrow.","Real value. If iesinv < 0, then all matrix elements of the spin Jastrow at distance larger than rmaxinv are not optimized. The rule is the same as the ones above for the spin Jastrow.",None,"datasminmol.input:

.. code-block:: text

    rmaxinv=0.d0 ! short range spin part r < = rmaxinv with no parametrization.
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_219,"read_datas.f90:995, 1384, 1417 -- 1500",
npar,``integer``,"- ``0`` if no input

- ignore input

  + ``0`` if iesfree >= 0",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !npar=12 ! 12 parameters for the charge Jastrow (4 log(r), 4 r^-1, 4 r^-2)
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_220,"read_datas.f90:995, 1387, 1417 -- 1500",
initpar,``integer``,"- ``-1`` if no input

- ignore input

  + ``0`` if iesfree >= 0",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !initpar=-2 ! Initial power log(r) for charge Jastrow.
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_221,"read_datas.f90:995, 1389, 1417 -- 1500",
rmaxj,``real*8``,"- ``1d-10`` if no input

- ignore input

  + ``0.d0`` if iesfree >= 0
  + ``1d-10`` if iesfree < 0 and rmaxj <= 0","Real value. If iefree < 0, then all matrix elements of the Jastrow at distance larger than rmaxj are not optimized. rmaxj = 0 has the same meaning as above, implying that only the so-called 3-body Jastrow is optimized.","Real value. If iefree < 0, then all matrix elements of the Jastrow at distance larger than rmaxj are not optimized. rmaxj = 0 has the same meaning as above, implying that only the so-called 3-body Jastrow is optimized.",None,"datasminmol.input:

.. code-block:: text

    rmaxj=0.d0 ! short range charge part r<= rmaxj with no parametrization.
","None?(joinfort10.README:)

.. code-block:: text

    rmaxj join all possible connections for the Jastrow with distance < rmaxj.
",fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_222,"read_datas.f90:995, 1391, 1417 -- 1500",
nparsw,``integer``,"- ``0`` if no input

- ignore input

  + ``0`` if iessw >= 0",WIP,None,None,None,None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_223,"read_datas.f90:995, 1393, 1417 -- 1500",
initparsw,``integer``,"- ``-1`` if no input

- ignore input

  + ``0`` if iessw >= 0",WIP,None,None,None,None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_224,"read_datas.f90:995, 1395, 1417 -- 1500",
rmax,``real*8``,"- ``1d-10`` if no input

- ignore input

  + ``0.d0`` if iessw >= 0
  + ``1d-10`` if rmax <= 0 and iessw < 0","Real value. If iessw < 0, then all matrix elements of the AGP at distance larger than rmax are not optimized. rmax = 0 implies that no matrix elements connecting different atoms are optimized.","Real value. If iessw < 0, then all matrix elements of the AGP at distance larger than rmax are not optimized. rmax = 0 implies that no matrix elements connecting different atoms are optimized.",None,"datasminmol.input:

.. code-block:: text

    rmax=5.d0 ! optimize only matrix elements < rmax (a.u.) in iessw <0
","None?(joinfort10.README:)

.. code-block:: text

    rmax join all possible connections for the determinant with distance < rmax.
",fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_225,"read_datas.f90:995, 1397, 1417 -- 1500",
npower,``integer``,``0``,WIP,None,None,"datasminmol.input:

.. code-block:: text

    npower=3 ! number of powers in the fit for iesfree
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_226,"read_datas.f90:995, 1375",
powermin,``integer``,``0``,WIP,None,None,"datasminmol.input:

.. code-block:: text

    powermin=0 ! minimum power fit iesfree, 0=log(r) n = r^{-n} in the s channel.
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_227,"read_datas.f90:995, 1374",
npowersz,``integer``,``0``,WIP,None,None,"datasminmol.input:

.. code-block:: text

    npowersz=3 ! == as npower iesinv ! belowe is the explicit input
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_228,"read_datas.f90:995, 1377",
powerminsz,``integer``,``0``,WIP,None,None,"datasminmol.input:

.. code-block:: text

    powerminsz=1 ! same as powermin for spin Jastrow iesinv
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_229,"read_datas.f90:995, 1376",
allfit,``logical``,``.true.``,WIP,None,None,"datasminmol.input:

.. code-block:: text

    ! allfit=.true. ! if .false. reduces number of parameters for polyatomic systems within some
                      approximation. default=.true.
",None,fitpar,"turborvb.x, readforward.x, prep.x",,read_datasmin_230,"read_datas.f90:995, 1399",
temp,``real*8``,"- ``0.d0`` if no input

- use input value

  + ``-0.5*temp*kboltz/rydberg`` if temp <= 0.d0
","Real value. The temperature in a.u. If temp < 0, then abs(temp) indicates the temperature in Kelvin. temp = 0 can be used for structural optimization. If the temperature is set to 0 K, it is purely structural optimization.","Real value. The temperature in a.u. If temp < 0, then abs(temp) indicates the temperature in Kelvin. temp = 0 can be used for structural optimization. If the temperature is set to 0 K, it is purely structural optimization.",None,"datasminmol.input:

.. code-block:: text

    !temp=0.0009d0  ! if temp>0, temp is the value of K_B*T, in a.u. ;
                      if temp<0, the absolute value of temp is the Temperature in K
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_231,"read_datas.f90:995, 1564, 1559, 1616",
friction,``real*8``,``0.d0``,"Real value. It is necessary to keep it non-zero in Newtonian dynamics (idyn=4,7,8) but can be set to zero (recommended) for idyn=5 (the recommended dynamics).","Real value. It is necessary to keep it non-zero in Newtonian dynamics (idyn=4,7,8) but can be set to zero (recommended) for idyn=5 (the recommended dynamics).",None,"datasminmol.input:

.. code-block:: text

    !friction=0.3d0 ! constant diagonal value added to friction matrix.
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_232,"read_datas.f90:995, 1581",
delta0,``real*8``,``0.d0``,"Real value. Used with idyn = 5, it is a parameter that can help with convergence in the small time step limit (tion \to 0). It should be set in such a way that the Hessian matrix during the dynamics is well approximated by delta0 \times Covariance matrix. For other dynamics, it represents a multiplicative factor applied to the covariance matrix used to decrease the correlation times. In these cases, delta0 has to be larger than a critical value depending on the time step. However, this is chosen by default.","Real value. Used with idyn = 5, it is a parameter that can help with convergence in the small time step limit (tion \to 0). It should be set in such a way that the Hessian matrix during the dynamics is well approximated by delta0 \times Covariance matrix. For other dynamics, it represents a multiplicative factor applied to the covariance matrix used to decrease the correlation times. In these cases, delta0 has to be larger than a critical value depending on the time step. However, this is chosen by default.",None,"datasminmol.input:

.. code-block:: text

    !delta0=1.0d0 ! unit 1/tion=dt  delta0>=1 for idyn=3 delta0>=2 for idyn=4
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_233,"read_datas.f90:995, 1587",
delta0q,``real*8``,"- if no input

  + ``friction`` if idyn == 7 or idyn == 8
  + ``0.d0`` otherwise",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !delta0q=friction ! for idyn=7 quantum dynamics correspond to 1/tau0 Ceriotti's
                        notations. Default=friction.
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_234,"read_datas.f90:995, 1588, 1598, 1607",
delta0k,``real*8``,"- if no input

  + ``1.d0`` if idyn == 7 or idyn == 8
  + ``0.d0`` otherwise
",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !delta0k=1.d0  ! default for idyn=7 quantum dynamics.
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_235,"read_datas.f90:995, 1589, 1598, 1611 -- 1614",
scalecov,``real*8``,"- ``1.d0`` if no input

- ignore input

  + ``1.d0`` if scalecov <= 0.d0
",WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_236,"read_datas.f90:995, 1585, 1598, 1605",
iskipdyn,``integer``,"- if no input or iskipdyn <= 0

  + ``1 + nmore_force - 1`` if nmore_force > 1
  + ``1`` if nmore_force <= 1

- if iskipdyn > 0

  + ``iskipdyn + nmore_force - 1`` if nmore_force > 1
  + ``iskipdyn`` if nmore_force <= 1","Integer value. After iskipdyn times nweight MC steps, check if dev_mat < maxdev_dyn.","Integer value. After iskipdyn times nweight MC steps, check if dev_mat < maxdev_dyn.",None,"datasminmol.input:

.. code-block:: text

    !iskipdyn=6  ! Each 6 steps make a dynamic move.
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_237,"read_datas.f90:995, 1584, 1598, 1675 -- 1676",
maxdev_dyn,``real*8``,``0.d0``,"Real value. After each WF optimization, it is the maximum value of dev max accepted for an ion move. Deprecated.","Real value. After each WF optimization, it is the maximum value of dev max accepted for an ion move. Deprecated.",None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_238,"read_datas.f90:995, 1580",
stepcg_recount,``logical``,``.false.``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_239,"read_datas.f90:995, 1582",
write_cov,``logical``,``.false.``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_240,"read_datas.f90:995, 1583",
normcorr,``real*8``,``1.d0``,"Real value. If non-zero and equal to one, it applies the noise correction to reduce the bias implied by the statistical evaluation of forces. In theory it should work, but in practice, it has little effects. So it is recommended to set to zero.","Real value. If non-zero and equal to one, it applies the noise correction to reduce the bias implied by the statistical evaluation of forces. In theory it should work, but in practice, it has little effects. So it is recommended to set to zero.",None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_241,"read_datas.f90:995, 1579",
yesturboq,``logical``,"- if no input

  + ``.true.`` if yesquantum is .true.
  + ``.false.`` if yesquantum is .false.

- ignore input or above value

  + ``.true.`` if idyn == 8 and nbread > 1
",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !yesturboq=.true. ! If true a more efficient algorithm is used (yesperiodize=.false.)
                        allowing larger tion
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_242,"read_datas.f90:995, 1563 -- 1571, 1598, 1626 -- 1628",
yessecond,``logical``,"- if no input

  + ``.true.`` if yesquantum is .true.
  + ``.false.`` if yesquantum is .false.

- ignore input  or above value

  + ``.true.`` if idyn == 8",WIP,None,None,"datasminmol.input:

.. code-block:: text

    !yessecond=.true. ! If true idyn=3/6/7 gives an error proportional to tion^2 (tion-->0) instead of linear in tion,
                        yesturboq=.true. and yessecond=.true. should be the optimal method (default).
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_243,"read_datas.f90:995, 1563 -- 1571, 1598, 1626 -- 1634",
smoothcut,``real*8``,``0.d0``,WIP,None,None,"datasdyn.input:

.. code-block:: text

    smoothcut=0.9d0 ! smooth cutoff multiply by 0.9 the ones outside rmax,rmaxj
",None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_244,"read_datas.f90:995, 1590",
killcut,``logical``,``.false.``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_245,"read_datas.f90:995, 1591",
scale_mass,``real*8``,``1.d0``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_246,"read_datas.f90:995, 1592",
eqcellab,``logical``,``.false.``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_247,"read_datas.f90:995, 1594, 1715 --- 1724",
eqcellac,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` if eqcellab is .false.
  + ``.false.`` if eqcellbc is .false.
",WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_248,"read_datas.f90:995, 1595, 1715 --- 1724",
eqcellbc,``logical``,"- ``.false.`` if no input

- ignore input

  + ``.false.`` is eqcellab is .true.
",WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_249,"read_datas.f90:995, 1596, 1715 --- 1724",
yesrootc,``logical``,``.false.``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_250,"read_datas.f90:995, 1572",
addrognoso,``logical``,"- if no input

  + ``.true.`` if idyn == 5
  + ``.false.`` if idyn /= 5
",Logical value. With idyn = 5 it has to be set to .true. in order to eliminate the bias in describing the canonical ensemble for tion \to 0.,Logical value. With idyn = 5 it has to be set to .true. in order to eliminate the bias in describing the canonical ensemble for tion \to 0.,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_251,"read_datas.f90:995, 1574 -- 1578",
cleanrognoso,``logical``,``.false.``,WIP,None,None,None,None,dynamic,"turborvb.x, readforward.x, prep.x",,read_datasmin_252,"read_datas.f90:995, 1573",
